threshold,accuracy,tumor_recall,normal_recall,macro_f1
0.1,0.7413793103448276,0.4827586206896552,1.0,0.7228416693214399
0.11,0.7413793103448276,0.4827586206896552,1.0,0.7228416693214399
0.12,0.7413793103448276,0.4827586206896552,1.0,0.7228416693214399
0.13,0.7370689655172413,0.47413793103448276,1.0,0.717541863760653
0.14,0.7370689655172413,0.47413793103448276,1.0,0.717541863760653
0.15,0.7327586206896551,0.46551724137931033,1.0,0.7122048819527811
0.16,0.7327586206896551,0.46551724137931033,1.0,0.7122048819527811
0.17,0.7327586206896551,0.46551724137931033,1.0,0.7122048819527811
0.18,0.7327586206896551,0.46551724137931033,1.0,0.7122048819527811
0.19,0.7327586206896551,0.46551724137931033,1.0,0.7122048819527811
0.2,0.728448275862069,0.45689655172413796,1.0,0.7068298064386722
0.21,0.728448275862069,0.45689655172413796,1.0,0.7068298064386722
0.22,0.728448275862069,0.45689655172413796,1.0,0.7068298064386722
0.23,0.728448275862069,0.45689655172413796,1.0,0.7068298064386722
0.24,0.728448275862069,0.45689655172413796,1.0,0.7068298064386722
0.25,0.728448275862069,0.45689655172413796,1.0,0.7068298064386722
0.26,0.728448275862069,0.45689655172413796,1.0,0.7068298064386722
0.27,0.728448275862069,0.45689655172413796,1.0,0.7068298064386722
0.28,0.728448275862069,0.45689655172413796,1.0,0.7068298064386722
0.29,0.728448275862069,0.45689655172413796,1.0,0.7068298064386722
0.3,0.728448275862069,0.45689655172413796,1.0,0.7068298064386722
0.31,0.728448275862069,0.45689655172413796,1.0,0.7068298064386722
0.32,0.728448275862069,0.45689655172413796,1.0,0.7068298064386722
0.33,0.7241379310344828,0.4482758620689655,1.0,0.7014157014157014
0.34,0.7241379310344828,0.4482758620689655,1.0,0.7014157014157014
0.35,0.7241379310344828,0.4482758620689655,1.0,0.7014157014157014
0.36,0.7241379310344828,0.4482758620689655,1.0,0.7014157014157014
0.37,0.7241379310344828,0.4482758620689655,1.0,0.7014157014157014
0.38,0.7241379310344828,0.4482758620689655,1.0,0.7014157014157014
0.39,0.7241379310344828,0.4482758620689655,1.0,0.7014157014157014
0.4,0.7241379310344828,0.4482758620689655,1.0,0.7014157014157014
0.41,0.7241379310344828,0.4482758620689655,1.0,0.7014157014157014
0.42,0.7198275862068966,0.4396551724137931,1.0,0.6959616121292769
0.43,0.7198275862068966,0.4396551724137931,1.0,0.6959616121292769
0.44,0.7198275862068966,0.4396551724137931,1.0,0.6959616121292769
0.45,0.7198275862068966,0.4396551724137931,1.0,0.6959616121292769
0.46,0.7155172413793104,0.43103448275862066,1.0,0.6904665642435515
0.47,0.7155172413793104,0.43103448275862066,1.0,0.6904665642435515
0.48,0.7155172413793104,0.43103448275862066,1.0,0.6904665642435515
0.49,0.7155172413793104,0.43103448275862066,1.0,0.6904665642435515
0.5,0.7155172413793104,0.43103448275862066,1.0,0.6904665642435515
0.51,0.7155172413793104,0.43103448275862066,1.0,0.6904665642435515
0.52,0.7155172413793104,0.43103448275862066,1.0,0.6904665642435515
0.53,0.7155172413793104,0.43103448275862066,1.0,0.6904665642435515
0.54,0.7155172413793104,0.43103448275862066,1.0,0.6904665642435515
0.55,0.7155172413793104,0.43103448275862066,1.0,0.6904665642435515
0.56,0.7112068965517241,0.4224137931034483,1.0,0.6849295631904329
0.57,0.7112068965517241,0.4224137931034483,1.0,0.6849295631904329
0.58,0.7112068965517241,0.4224137931034483,1.0,0.6849295631904329
0.59,0.7112068965517241,0.4224137931034483,1.0,0.6849295631904329
0.6,0.7068965517241379,0.41379310344827586,1.0,0.6793495934959349
0.61,0.7068965517241379,0.41379310344827586,1.0,0.6793495934959349
0.62,0.7068965517241379,0.41379310344827586,1.0,0.6793495934959349
0.63,0.7068965517241379,0.41379310344827586,1.0,0.6793495934959349
0.64,0.7068965517241379,0.41379310344827586,1.0,0.6793495934959349
0.65,0.7068965517241379,0.41379310344827586,1.0,0.6793495934959349
0.66,0.7068965517241379,0.41379310344827586,1.0,0.6793495934959349
0.67,0.7068965517241379,0.41379310344827586,1.0,0.6793495934959349
0.68,0.7068965517241379,0.41379310344827586,1.0,0.6793495934959349
0.69,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.7,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.71,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.72,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.73,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.74,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.75,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.76,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.77,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.78,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.79,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.8,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.81,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.82,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.83,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.84,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.85,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.86,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.87,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.88,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.89,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.9,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
